Ampere (A),Measurement,Voltage (V)
-1.4022063137874312,1,-1.4022063137874312
-1.508636078730163,2,-1.508636078730163
-1.4992475375676833,3,-1.4992475375676833
-1.5305689732105776,4,-1.5305689732105776
-1.537432864648693,5,-1.537432864648693
-1.5416931986021183,6,-1.5416931986021183
-1.5823242925600454,7,-1.5823242925600454
-1.488912252758567,8,-1.488912252758567
-1.5858745812349326,9,-1.5858745812349326
-1.5111607284545272,10,-1.5111607284545272
-1.5928962632808208,11,-1.5928962632808208
-1.5129753329003535,12,-1.5129753329003535
-1.5633105243234269,13,-1.5633105243234269
-1.5019299654433809,14,-1.5019299654433809
-1.5789317944929309,15,-1.5789317944929309
-1.5250463019385307,16,-1.5250463019385307
-1.4844941157409295,17,-1.4844941157409295
-1.59313294919248,18,-1.59313294919248
-1.5162889232071421,19,-1.5162889232071421
-1.5687543002915874,20,-1.5687543002915874
-1.5064270102213442,21,-1.5064270102213442
-1.5237050817724622,22,-1.5237050817724622
-1.5272553704473495,23,-1.5272553704473495
-1.5714367406237244,24,-1.5714367406237244
-1.4898589964052036,25,-1.4898589964052036
-1.5630738384117677,26,-1.5630738384117677
-1.5223638616063937,27,-1.5223638616063937
-1.596446551955708,28,-1.596446551955708
-1.487492137288612,29,-1.487492137288612
-1.5609436652068354,30,-1.5609436652068354
-1.5745925527791798,31,-1.5745925527791798
-1.4908846353557266,32,-1.4908846353557266
-1.5820876066483862,33,-1.5820876066483862
-1.5029556168503433,34,-1.5029556168503433
-1.513606482875005,35,-1.513606482875005
-1.5899771370370246,36,-1.5899771370370246
-1.528596590613418,37,-1.528596590613418
-1.4941193428150683,38,-1.4941193428150683
-1.5768016212879985,39,-1.5768016212879985
-1.5087938693379357,40,-1.5087938693379357
-1.5878469638320922,41,-1.5878469638320922
-1.5077682303874127,42,-1.5077682303874127
-1.5549476221114702,43,-1.5549476221114702
-1.5073737538679808,44,-1.5073737538679808
-1.592343996153616,45,-1.592343996153616
-1.4891489386702261,46,-1.4891489386702261
-1.5391685613341934,47,-1.5391685613341934
-1.5847700345240838,48,-1.5847700345240838
-1.4948294005500458,49,-1.4948294005500458
-1.5674130801255188,50,-1.5674130801255188
-1.555815457997781,51,-1.555815457997781
-1.5071370679563216,52,-1.5071370679563216
-1.5876891732243195,53,-1.5876891732243195
-1.5105295784798756,54,-1.5105295784798756
-1.5114763096700727,55,-1.5114763096700727
-1.5871369060971148,56,-1.5871369060971148
-1.5439022795673765,57,-1.5439022795673765
-1.540825350259368,58,-1.540825350259368
-1.5466636152034,59,-1.5466636152034
-1.5035078715211085,60,-1.5035078715211085
-1.52244275691028,61,-1.52244275691028
-1.5812986660659618,62,-1.5812986660659618
-1.4877288107438318,63,-1.4877288107438318
-1.5466636152034,64,-1.5466636152034
-1.5824820831678181,65,-1.5824820831678181
-1.4949871911578185,66,-1.4949871911578185
-1.5671763942138597,67,-1.5671763942138597
-1.4835473720942929,68,-1.4835473720942929
-1.580194119355113,69,-1.580194119355113
-1.5420876875779896,70,-1.5420876875779896
-1.5380640395362235,71,-1.5380640395362235
-1.4925414367373406,72,-1.4925414367373406
-1.5783006320618398,73,-1.5783006320618398
-1.5108451472389817,74,-1.5108451472389817
-1.5866635342737965,75,-1.5866635342737965
-1.5171567715498924,76,-1.5171567715498924
-1.5913972525069795,77,-1.5913972525069795
-1.522837233429712,78,-1.522837233429712
-1.5566044234930843,79,-1.5566044234930843
-1.5001153859104335,80,-1.5001153859104335
-1.52244275691028,81,-1.52244275691028
-1.5304900654502518,82,-1.5304900654502518
-1.534355947797124,83,-1.534355947797124
-1.5884781262631833,84,-1.5884781262631833
-1.4978274220977283,85,-1.4978274220977283
-1.5264664174084857,86,-1.5264664174084857
-1.5208648508325524,87,-1.5208648508325524
-1.5857167906271599,88,-1.5857167906271599
-1.492068052457583,89,-1.492068052457583
-1.5685964972273752,90,-1.5685964972273752
-1.5606280839912898,91,-1.5606280839912898
-1.4811805129777014,92,-1.4811805129777014
-1.57175232183927,93,-1.57175232183927
-1.5582612248746983,94,-1.5582612248746983
-1.4910424259634993,95,-1.4910424259634993
-1.5788528991890445,96,-1.5788528991890445
-1.5663085458711095,97,-1.5663085458711095
-1.5090305552495948,98,-1.5090305552495948
-1.5667819176944278,99,-1.5667819176944278
-1.5455590809489905,100,-1.5455590809489905
